ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
317, 485, 488, 3368, -48, -39, 6, 784, -129
327, 507, 451, 3359, -41, -23, -4, 781, -131
337, 507, 461, 3431, 11, -8, -11, 780, -132
347, 520, 436, 3397, 52, 11, -5, 782, -132
357, 543, 503, 3423, 4, 25, 18, 783, -132
367, 521, 440, 3376, -12, 32, 28, 781, -131
377, 522, 466, 3317, 21, 30, 30, 782, -130
387, 509, 573, 3363, 57, 37, 32, 788, -129
397, 479, 522, 3355, 85, 44, 7, 794, -126
407, 449, 516, 3286, 75, 46, -1, 799, -122
417, 401, 520, 3262, 93, 34, -7, 806, -118
427, 397, 507, 3285, 62, 21, 13, 810, -114
437, 420, 558, 3294, -2, 3, 30, 812, -113
447, 404, 563, 3281, -21, -13, 26, 812, -112
457, 454, 536, 3302, 3, -6, 3, 813, -111
467, 480, 468, 3297, 46, 4, 3, 815, -111
477, 466, 437, 3339, 2, 14, 18, 814, -110
487, 435, 483, 3319, 11, 10, 12, 814, -109
497, 421, 533, 3249, 42, 2, -8, 818, -107
507, 407, 520, 3255, 33, -11, -8, 820, -106
517, 438, 538, 3308, 45, -15, -6, 824, -106
527, 439, 577, 3326, 31, -14, 12, 828, -107
537, 454, 528, 3354, -4, -10, 22, 828, -107
547, 487, 556, 3352, 40, -7, 8, 831, -108
557, 482, 532, 3303, 51, 8, 3, 835, -107
567, 469, 512, 3269, 19, 8, 3, 836, -107
577, 451, 503, 3218, -39, -20, 23, 834, -108
587, 477, 461, 3317, -70, -27, 31, 828, -110
597, 522, 532, 3396, -5, -14, 18, 828, -112
607, 492, 508, 3422, 33, 6, 5, 829, -112
617, 465, 514, 3371, 34, 15, 5, 831, -111
627, 442, 551, 3356, 44, 12, -1, 835, -109
637, 440, 574, 3289, 48, -11, 0, 839, -109
647, 449, 640, 3310, -28, -24, 9, 841, -110
657, 432, 529, 3271, -68, -41, 10, 837, -111
667, 444, 575, 3381, 30, -16, -27, 840, -112
677, 478, 500, 3323, 61, 10, -31, 843, -111
687, 501, 470, 3310, 58, 21, -16, 845, -111
697, 466, 501, 3282, 31, 9, 7, 847, -110
707, 460, 566, 3335, 12, -2, 17, 848, -110
717, 487, 584, 3352, 12, -4, 17, 851, -110
727, 453, 587, 3348, -29, -4, 4, 850, -110
737, 481, 586, 3319, -27, 1, -6, 850, -110
747, 455, 575, 3280, -31, -6, -5, 850, -110
757, 477, 473, 3296, -42, -21, -4, 846, -112
767, 487, 502, 3286, -45, -10, 7, 842, -113
777, 507, 463, 3281, -26, -7, 10, 839, -114
787, 492, 441, 3302, -7, -3, 20, 837, -115
797, 491, 464, 3349, 19, 2, 12, 836, -115
807, 525, 530, 3254, 40, 7, 8, 839, -116
817, 460, 544, 3320, 10, -1, 19, 841, -116
827, 480, 585, 3386, 16, 3, 8, 843, -115
837, 489, 513, 3373, 17, 2, 13, 844, -116
847, 495, 517, 3374, 5, 3, 26, 844, -116
857, 518, 559, 3348, -31, -2, 16, 842, -117
867, 476, 554, 3346, -56, 1, 23, 840, -117
877, 491, 511, 3288, -67, 0, 15, 836, -118
887, 497, 522, 3326, -41, 1, 17, 833, -118
897, 489, 450, 3279, -12, 14, 10, 831, -117
907, 462, 435, 3261, -4, 21, 18, 829, -116
917, 442, 482, 3271, 41, 12, 20, 830, -114
927, 434, 483, 3288, 52, 11, 9, 833, -112
937, 424, 528, 3266, 14, 4, 12, 834, -111
947, 405, 582, 3249, 24, -13, 7, 838, -110
957, 447, 594, 3322, 67, -19, -1, 844, -110
967, 472, 532, 3379, 76, 0, -1, 848, -110
977, 495, 603, 3436, 85, 25, 3, 855, -109
987, 445, 582, 3389, 45, 30, -3, 859, -107
997, 461, 547, 3319, 30, 27, 9, 861, -105
1007, 439, 579, 3304, -14, 11, 16, 861, -104
1017, 423, 602, 3283, -31, -9, 17, 861, -103
1027, 450, 548, 3304, -51, -5, 10, 859, -103
1037, 471, 465, 3209, -21, -13, 7, 856, -104
1047, 469, 518, 3275, -29, -19, 4, 854, -105
1057, 475, 545, 3302, -17, -12, -8, 853, -106
1067, 471, 475, 3359, 21, -19, -5, 853, -107
1077, 448, 489, 3282, 4, -24, 1, 852, -108
1087, 470, 537, 3262, 26, -31, 21, 854, -110
1097, 534, 624, 3346, 34, -27, 39, 859, -113
1107, 500, 618, 3431, 88, -6, -13, 866, -114
1117, 506, 495, 3337, 60, 11, -10, 868, -114
1127, 490, 527, 3305, 32, -2, 8, 870, -115
